symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
VPG,"Vishay Precision Group, Inc.",NYQ,Technology,Scientific & Technical Instruments,132.93,129.93,3.7365,116.4418,0.9381,0.1760,,7.2200,288.7333
VNT,Vontier Corporation,NYQ,Technology,Scientific & Technical Instruments,28.39,28.47,-1.4538,-18.1661,1.0758,0.0130,0.0730,0.8500,10.0601
VNET,"VNET Group, Inc.",NMS,Technology,Information Technology Services,10.78,10.33,-2.7307,21.9599,0.5999,0.1980,,0.4500,
VLN,Valens Semiconductor Ltd.,NYQ,Technology,Semiconductors,3.31,3.22,-8.0000,43.1111,0.7866,0.0020,,,
VISN,"Vistance Networks, Inc.",NMS,Technology,Communication Equipment,12.44,12.21,-1.2935,-1.2136,0.8474,0.2160,6.0260,2.9400,17.9559
VICR,Vicor Corporation,NMS,Technology,Electronic Components,332.95,330.48,-3.3938,31.6549,0.5258,0.2020,7.1390,0.1559,111.2727
VIAV,Viavi Solutions Inc.,NMS,Technology,Communication Equipment,52.88,52.42,8.1048,-0.1334,0.9546,0.4280,-0.6720,1.3400,
VIA,"Via Transportation, Inc.",NYQ,Technology,Software - Application,15.44,15.11,4.2069,-10.2732,1.4930,0.2920,,,
VECO,Veeco Instruments Inc.,NMS,Technology,Semiconductor Equipment & Materials,61.01,60.46,2.2493,18.7120,0.6316,-0.0540,,0.8100,159.1053
UPBD,"Upbound Group, Inc.",NMS,Technology,Software - Application,18.61,17.89,-7.8785,-3.1926,0.9789,0.0370,0.4440,1.3900,12.4236
UMC,United Microelectronics Corpora,NYQ,Technology,Semiconductors,22.46,21.42,-5.5556,65.0231,1.3084,0.0550,1.0790,1.6000,34.0000
UIS,Unisys Corporation New,NYQ,Technology,Information Technology Services,4.62,4.22,8.4833,55.1470,1.8077,0.0130,,0.6300,
UI,Ubiquiti Inc.,NYQ,Technology,Communication Equipment,588.57,576.13,-3.1731,-42.5474,0.8936,0.1870,0.2960,1.1000,37.0264
UCTT,"Ultra Clean Holdings, Inc.",NMS,Technology,Semiconductor Equipment & Materials,90.21,92.55,6.0259,26.5901,1.0337,0.0290,,1.0900,
UBER,"Uber Technologies, Inc.",NYQ,Technology,Software - Application,71.62,71.69,1.0857,-3.0299,1.0036,0.1450,-0.8520,5.8100,17.7891
U,Unity Software Inc.,NYQ,Technology,Software - Application,30.77,29.22,-2.4048,5.4113,0.4881,0.1680,,,
TYL,"Tyler Technologies, Inc.",NYQ,Technology,Software - Application,313.56,303.77,-0.7417,-7.1749,1.0915,0.0860,0.0020,1.4700,42.0152
TXN,Texas Instruments Incorporated,NMS,Technology,Semiconductors,308.12,308.59,-2.3295,10.4197,0.9040,0.1860,0.3100,1.4700,52.6604
TWLO,Twilio Inc.,NYQ,Technology,Software - Infrastructure,229.3,227.26,23.1094,19.8186,1.2815,0.2000,3.5030,0.4300,344.3333
TUYA,Tuya Inc.,NYQ,Technology,Software - Infrastructure,2.09,1.99,-3.8647,-17.0833,0.9799,0.0830,0.4320,0.4606,19.9000
TTMI,"TTM Technologies, Inc.",NMS,Technology,Electronic Components,179.62,189.6,0.9638,20.4039,1.1528,0.3040,0.5530,0.3600,103.0435
TTGT,"TechTarget, Inc.",NMS,Technology,Information Technology Services,4.76,4.16,-7.1429,-29.7297,0.7792,0.0210,,,
TTAN,"ServiceTitan, Inc.",NMS,Technology,Software - Application,75.01,72.63,10.3967,13.8044,1.9404,0.2140,,,
TSM,Taiwan Semiconductor Manufactur,NYQ,Technology,Semiconductors,446.69,436.69,2.7845,8.7348,0.7482,0.3510,0.5830,1.3500,37.1651
TSEM,Tower Semiconductor Ltd.,NMS,Technology,Semiconductors,274.71,267.91,-2.7550,24.5745,0.3999,0.1550,0.6200,7.7200,123.4608
TSAT,Telesat Corporation,NMS,Technology,Communication Equipment,50.14,46.79,-20.0308,-3.7639,1.8942,-0.2540,,,
TRMB,Trimble Inc.,NMS,Technology,Scientific & Technical Instruments,57.74,55.52,1.0925,-18.9726,1.1142,0.1180,0.4830,3.2200,29.0681
TOST,"Toast, Inc.",NYQ,Technology,Software - Infrastructure,26.35,25.07,0.4407,-14.7569,1.0894,0.2190,1.2500,0.2300,37.4179
TER,"Teradyne, Inc.",NMS,Technology,Semiconductor Equipment & Materials,392.62,409.67,7.0613,21.4511,0.9147,0.8700,3.0340,1.5500,75.7246
TENB,"Tenable Holdings, Inc.",NMS,Technology,Software - Infrastructure,30.9,29.69,14.4123,42.5348,1.8325,0.0960,,0.9900,
TEL,TE Connectivity plc,NYQ,Technology,Electronic Components,214.73,218.39,3.8321,6.7976,0.8984,0.1450,64.7690,0.9900,22.3303
TEAM,Atlassian Corporation,NMS,Technology,Software - Application,109.1,101.53,8.8327,8.9845,0.6645,0.3170,,0.7800,
TDY,Teledyne Technologies Incorpora,NYQ,Technology,Scientific & Technical Instruments,618.81,618.02,-2.5297,-3.0678,0.9125,0.0760,0.2030,1.4000,31.3557
TDC,Teradata Corporation,NYQ,Technology,Software - Infrastructure,36.51,34.97,10.5596,19.2701,0.8785,0.0620,6.6140,6.0000,8.0023
TASK,"TaskUs, Inc.",NMS,Technology,Information Technology Services,6.47,5.86,-7.1315,-8.5803,0.7161,0.1030,0.1510,0.3434,5.1858
SYNA,Synaptics Incorporated,NMS,Technology,Semiconductors,146.04,144.98,1.2006,43.8294,0.5188,0.1040,,0.5100,
SWKS,"Skyworks Solutions, Inc.",NMS,Technology,Semiconductors,79.12,80.66,-0.9213,18.1712,0.8285,-0.0100,-0.4820,1.7100,33.6083
SVCO,"Silvaco Group, Inc.",NMS,Technology,Software - Application,12.17,12.68,31.1272,9.4047,3.4220,0.2600,,,
STX,Seagate Technology Holdings PLC,NMS,Technology,Computer Hardware,926.61,940.69,6.8092,27.3716,0.7380,0.4410,1.2000,0.6400,89.2495
STNE,StoneCo Ltd.,NMS,Technology,Software - Infrastructure,11.24,10.64,-6.0900,-1.8450,1.5048,0.0430,2.3170,0.0167,3.8691
STM,STMicroelectronics N.V.,NYQ,Technology,Semiconductors,79.51,79.71,14.7732,44.5855,1.3935,0.2300,-0.3390,0.5700,498.1875
ST,Sensata Technologies Holding pl,NYQ,Technology,Scientific & Technical Instruments,53.13,53.55,6.2922,30.5489,1.2979,0.0260,0.2460,0.3200,162.2727
SSYS,"Stratasys, Ltd.",NMS,Technology,Computer Hardware,10.5,9.85,-1.6966,12.7002,0.9849,-0.0250,,2.0600,
SSNC,"SS&C Technologies Holdings, Inc",NMS,Technology,Software - Application,68.22,67.97,3.2263,-1.4258,0.9905,0.0880,0.0620,0.7100,21.1087
SRAD,Sportradar Group AG,NMS,Technology,Software - Application,13.68,13.46,3.1418,3.3794,0.5542,0.1130,,,51.7692
SPSC,"SPS Commerce, Inc.",NMS,Technology,Software - Application,57.8,55.55,3.7930,-5.1076,1.1661,0.0580,-0.1110,4.5500,23.0498
SONY,Sony Group Corporation,NYQ,Technology,Consumer Electronics,22.79,22.2,2.2100,13.0346,0.6798,0.1540,-0.5810,2.0600,20.7477
SONO,"Sonos, Inc.",NMS,Technology,Consumer Electronics,16.47,15.72,-0.8202,5.7162,0.8004,0.0840,,,92.4706
SNX,TD SYNNEX Corporation,NYQ,Technology,Electronics & Computer Distribution,279.33,279.25,13.4148,22.5641,0.8737,0.1810,0.9510,1.7000,23.2515
SNPS,"Synopsys, Inc.",NMS,Technology,Software - Infrastructure,508.35,498.02,3.6160,0.1045,0.9001,0.4190,-0.9500,3.2300,113.7032
SNOW,Snowflake Inc.,NYQ,Technology,Software - Application,261.14,241.28,0.8696,67.3116,1.3908,0.3350,,6.2300,
SNDK,Sandisk Corporation,NMS,Technology,Computer Hardware,1716.36,1831.5,11.5653,45.8363,0.7408,2.5100,,,62.5085
SMWB,Similarweb Ltd.,NYQ,Technology,Software - Application,4.38,4.31,2.8640,42.7152,1.8480,0.1010,,,
SMTC,Semtech Corporation,NMS,Technology,Semiconductors,166.63,163.5,-1.7014,52.6611,1.0938,0.1590,0.3730,1.2100,
SMCI,"Super Micro Computer, Inc.",NMS,Technology,Computer Hardware,50.17,47.42,14.8184,69.8424,1.2254,1.2270,3.4440,0.9100,24.9579
SLAB,"Silicon Laboratories, Inc.",NMS,Technology,Semiconductors,218.75,219.13,0.3297,0.9816,0.8478,0.2010,,3.1200,
SIMO,Silicon Motion Technology Corpo,NMS,Technology,Semiconductors,301.27,306.57,8.5434,35.2338,1.4328,1.0550,2.4320,0.7000,60.5870
SHOP,Shopify Inc.,NMS,Technology,Software - Application,116.9886,112.94,-1.8169,-11.4543,0.7428,0.3430,,2.1000,110.7255
SEDG,"SolarEdge Technologies, Inc.",NMS,Technology,Solar,78.51,74.02,1.1340,78.2755,0.6302,0.4150,,4.6100,
SCSC,"ScanSource, Inc.",NMS,Technology,Electronics & Computer Distribution,48.08,45.87,0.1091,11.1461,1.2671,0.0880,-0.0310,0.7000,13.9422
SAP,SAP  SE,NYQ,Technology,Software - Application,190.82,180.67,2.9693,7.2283,0.7694,0.0600,0.0850,1.5700,24.8857
SANM,Sanmina Corporation,NMS,Technology,Electronic Components,278.36,282.72,7.4042,30.5625,1.1672,1.0230,0.4580,1.0900,59.8983
SAIL,"SailPoint, Inc.",NMS,Technology,Software - Infrastructure,19.84,18.38,11.0574,51.2757,2.2105,0.2270,,,
SAIC,Science Applications Internatio,NMS,Technology,Information Technology Services,113.36,114.73,10.6365,18.4493,1.2005,0.0150,0.6910,0.1868,12.9055
SABR,Sabre Corporation,NMS,Technology,Software - Infrastructure,1.88,1.84,10.1796,-1.6043,0.7298,0.0830,-0.7700,1.6800,
S,"SentinelOne, Inc.",NYQ,Technology,Software - Infrastructure,17.35,16.3,-9.5450,4.4872,1.1187,0.2080,,,
RXT,"Rackspace Technology, Inc.",NMS,Technology,Software - Infrastructure,5.45,5.21,7.4227,159.2040,0.6598,0.0190,,4.9300,
RUN,Sunrun Inc.,NMS,Technology,Solar,15.25,14.85,-6.5450,16.9291,0.8287,0.4320,2.3520,3.0700,6.9718
RSKD,Riskified Ltd.,NYQ,Technology,Software - Application,4.97,4.8,0.6289,-0.8264,0.8121,0.0710,,,
ROP,"Roper Technologies, Inc.",NMS,Technology,Software - Application,336.5,331.7,3.7373,-6.6239,0.6182,0.1130,0.5370,1.3800,20.7054
ROG,Rogers Corporation,NYQ,Technology,Electronic Components,154.22,148.0,2.1112,9.6296,0.9401,0.0520,,0.5200,
RNG,"Ringcentral, Inc.",NYQ,Technology,Software - Application,46.37,43.97,5.2013,-6.7994,0.8194,0.0530,,0.2600,46.7766
RMBS,"Rambus, Inc.",NMS,Technology,Semiconductors,166.78,170.66,15.2952,53.0583,1.0431,0.0810,-0.0070,3.8000,81.2667
RELY,"Remitly Global, Inc.",NMS,Technology,Software - Infrastructure,20.07,19.73,-1.3500,-17.0311,0.9602,0.2520,3.3210,0.1238,41.1042
RDWR,Radware Ltd.,NMS,Technology,Software - Infrastructure,31.55,29.77,1.2930,9.3280,1.0027,0.1070,-0.1840,22.7900,67.6591
RBRK,"Rubrik, Inc.",NYQ,Technology,Software - Infrastructure,82.33,79.46,12.9977,37.1655,1.3603,0.4630,,,
RBBN,Ribbon Communications Inc.,NMS,Technology,Software - Application,3.34,3.12,1.2987,16.8539,0.9471,-0.1030,,0.5700,18.3529
RAMP,"LiveRamp Holdings, Inc.",NYQ,Technology,Software - Infrastructure,37.58,37.4,-0.5054,23.3916,3.5563,0.0920,,0.5900,16.7713
RAL,Ralliant Corporation,NYQ,Technology,Electronic Components,61.99,62.66,0.5133,37.5631,0.7630,0.1100,-0.3080,,
QTWO,"Q2 Holdings, Inc.",NYQ,Technology,Software - Application,48.88,45.42,0.6203,-15.1504,0.5988,0.1410,4.6050,8.3500,40.1947
QRVO,"Qorvo, Inc.",NMS,Technology,Semiconductors,102.74,104.73,-1.5880,13.1849,0.8818,-0.0700,-0.0520,1.0300,28.9309
QLYS,"Qualys, Inc.",NMS,Technology,Software - Infrastructure,113.42,111.61,11.1986,20.6725,1.1714,0.0980,0.0650,4.3800,20.0377
QCOM,QUALCOMM Incorporated,NMS,Technology,Semiconductors,240.84,250.01,2.7621,48.4796,0.9848,-0.0350,1.6210,1.0500,26.8828
QBTS,D-Wave Quantum Inc.,NYQ,Technology,Computer Hardware,29.91,27.55,-6.5785,31.6922,1.2913,-0.8090,,,
Q,"Qnity Electronics, Inc.",NYQ,Technology,Semiconductor Equipment & Materials,155.74,155.0,-2.4421,9.9376,0.9286,0.1760,-0.2180,2.6100,50.0000
PTRN,Pattern Group Inc. - Series A,NMS,Technology,Software - Application,20.45,19.88,5.7447,45.9618,1.4003,0.4320,0.2810,,
PTC,PTC Inc.,NMS,Technology,Software - Application,142.34,139.72,0.6701,1.1072,1.0669,0.2170,2.6320,1.3300,13.4217
PSN,Parsons Corporation,NYQ,Technology,Information Technology Services,60.84,59.95,1.9038,19.8521,0.8316,-0.0410,-0.2010,,28.6842
PSFE,Paysafe Limited,NYQ,Technology,Software - Infrastructure,7.45,7.23,-5.4902,-20.4620,1.5230,0.1040,,,
PRGS,Progress Software Corporation,NMS,Technology,Software - Infrastructure,34.05,31.96,4.6496,8.9669,0.5751,0.0410,1.0840,1.0600,16.3897
POWI,"Power Integrations, Inc.",NMS,Technology,Semiconductors,84.19,84.99,-2.1473,16.9532,0.8552,0.0260,-0.6250,1.5100,283.3000
PONY,Pony AI Inc.,NMS,Technology,Information Technology Services,10.83,10.37,4.1165,-0.2885,1.0297,1.4500,,,
PLXS,Plexus Corp.,NMS,Technology,Electronic Components,280.12,287.55,7.3388,9.5220,1.4640,0.1870,0.2750,2.0900,42.1628
PLUS,ePlus inc.,NMS,Technology,Software - Application,84.36,80.39,-9.3175,-6.0755,1.6808,0.2170,0.1490,0.8500,17.0679
PLTR,Palantir Technologies Inc.,NMS,Technology,Software - Infrastructure,152.17,142.2,-0.7953,-2.6228,0.8887,0.8470,3.0670,2.1800,158.0000
PLAB,"Photronics, Inc.",NMS,Technology,Semiconductor Equipment & Materials,33.14,32.11,-5.6143,-35.1051,2.2631,-0.0050,2.5470,2.6400,11.8487
PICS,PicS N.V.,NMS,Technology,Software - Infrastructure,11.17,9.03,-15.5285,-22.4893,3.8307,0.7020,1.0200,0.0500,5.1017
PI,"Impinj, Inc.",NMS,Technology,Semiconductors,143.26,137.76,-12.1877,-3.7854,0.9318,-0.0000,,,
PENG,"Penguin Solutions, Inc.",NMS,Technology,Information Technology Services,70.65,71.41,32.0695,120.4012,1.4824,-0.0620,3.6340,0.2807,102.0143
PEGA,Pegasystems Inc.,NMS,Technology,Software - Application,36.61,35.11,3.7530,-4.5665,0.7759,-0.0960,-0.6160,4.2100,18.9784
PDFS,"PDF Solutions, Inc.",NMS,Technology,Software - Application,55.48,55.14,12.6916,24.1892,1.0377,0.2590,,4.1900,306.3333
PD,"PagerDuty, Inc.",NYQ,Technology,Software - Application,10.14,9.3,25.0000,25.3369,0.9644,0.0100,,,4.4928
PCTY,Paylocity Holding Corporation,NMS,Technology,Software - Application,117.84,112.82,1.7496,3.4761,0.6027,0.1050,0.2160,0.8900,24.1068
PCOR,"Procore Technologies, Inc.",NYQ,Technology,Software - Application,52.7,50.65,6.5419,-18.4380,0.5965,0.1570,,,
PAYX,"Paychex, Inc.",NMS,Technology,Software - Application,100.79,98.45,3.0782,7.8247,0.6622,0.1990,0.0790,1.7700,21.7329
PAYP,PayPay Corporation - American D,NMS,Technology,Software - Infrastructure,18.7,17.05,-13.5834,-19.4995,0.9859,0.2910,0.3950,1.8100,15.2232
PAYC,"Paycom Software, Inc.",NYQ,Technology,Software - Application,144.23,137.79,0.7237,4.4891,0.5532,0.0780,0.1170,1.0400,15.9479
PAY,"Paymentus Holdings, Inc.",NYQ,Technology,Software - Infrastructure,22.35,21.11,-9.2043,-26.2404,1.7936,0.3020,0.5120,0.7233,37.0351
PATH,"UiPath, Inc.",NYQ,Technology,Software - Infrastructure,12.18,11.67,0.7772,7.7562,0.9777,0.1730,,0.4200,19.4500
PAR,PAR Technology Corporation,NYQ,Technology,Software - Application,15.29,14.17,-7.8074,-1.1165,0.8370,0.1940,,0.7700,
PANW,"Palo Alto Networks, Inc.",NMS,Technology,Software - Infrastructure,297.18,280.43,8.7908,51.9452,1.7641,0.3110,,4.9800,243.8522
PAGS,PagSeguro Digital Ltd.,NYQ,Technology,Software - Infrastructure,9.22,8.77,-6.0021,-10.0513,0.9981,0.0150,0.0390,1.5508,6.0483
P,"Everpure, Inc.",NYQ,Technology,Computer Hardware,82.98,80.84,10.6791,11.1203,1.2352,,,1.7600,122.4848
OUST,"Ouster, Inc.",NMS,Technology,Electronic Components,46.03,43.96,3.8507,56.1634,0.9293,0.4890,,,
OTEX,Open Text Corporation,NMS,Technology,Software - Application,24.79,23.69,1.6302,2.3326,1.7013,0.0220,0.8600,1.0200,11.5000
OSIS,"OSI Systems, Inc.",NMS,Technology,Electronic Components,212.01,213.48,-3.4726,-24.5307,0.5250,0.0200,-0.0220,1.5500,24.3977
ORCL,Oracle Corporation,NYQ,Technology,Software - Infrastructure,244.58,230.33,13.0731,27.7553,0.8495,0.2170,0.2670,1.4600,41.3519
OOMA,"Ooma, Inc.",NYQ,Technology,Software - Application,17.65,16.88,-5.0084,-5.6983,1.2795,0.2480,,,51.1515
ONTO,Onto Innovation Inc.,NYQ,Technology,Semiconductor Equipment & Materials,278.02,279.98,8.1798,-6.5331,1.1253,0.0950,-0.4730,1.3000,129.6204
ON,ON Semiconductor Corporation,NMS,Technology,Semiconductors,128.64,133.93,8.2088,31.2524,0.9717,0.0470,,0.4300,97.7591
OLED,Universal Display Corporation,NMS,Technology,Electronic Components,93.79,90.84,-3.5157,-5.9238,0.6575,-0.1450,-0.4430,1.0000,20.2316
OKTA,"Okta, Inc.",NMS,Technology,Software - Infrastructure,135.32,124.65,31.5984,61.3801,1.5004,0.1120,0.1940,1.2800,90.3261
OCTVV,Octave Intelligence plc,NMS,Technology,Software - Application,,17.48,14.6628,-10.9745,,,,,15.2000
OCTV,Octave Intelligence plc,NMS,Technology,Software - Application,25.11,19.74,15.7771,-10.1093,1.2268,,,,17.1652
NXT,Nextpower Inc.,NMS,Technology,Solar,152.22,146.47,6.7799,25.2630,1.1585,-0.0470,-0.0390,5.5000,38.1432
NXPI,NXP Semiconductors N.V.,NMS,Technology,Semiconductors,323.62,321.88,-2.5433,10.7030,0.8308,0.1220,1.2900,0.8300,30.7725
NVMI,Nova Ltd.,NMS,Technology,Semiconductor Equipment & Materials,523.13,530.04,4.7572,7.6682,0.6914,0.1030,0.0680,1.4600,66.6717
NVDA,NVIDIA Corporation,NMS,Technology,Semiconductors,222.82,214.75,0.2334,8.1973,0.9599,0.8520,2.1060,0.6600,32.8867
NTSK,"Netskope, Inc.",NMS,Technology,Software - Infrastructure,12.09,12.4,7.5455,20.1550,2.8492,0.3220,,,
NTNX,"Nutanix, Inc.",NMS,Technology,Software - Infrastructure,55.49,53.04,8.6663,21.2897,1.0604,0.1000,0.1380,1.2200,55.8316
NTGR,"NETGEAR, Inc.",NMS,Technology,Communication Equipment,27.25,26.19,1.8670,5.9895,0.7611,-0.0200,,0.7400,
NTCT,"NetScout Systems, Inc.",NMS,Technology,Software - Infrastructure,43.43,42.3,1.9277,20.4785,1.4996,-0.0100,-0.0200,1.6400,32.5385
NTAP,"NetApp, Inc.",NMS,Technology,Software - Infrastructure,175.64,181.08,27.1629,63.2234,1.2293,0.1250,0.1880,1.9300,28.4717
NSIT,"Insight Enterprises, Inc.",NMS,Technology,Electronics & Computer Distribution,119.7,115.6,11.8205,64.0182,1.4485,0.0120,2.9940,1.0600,20.6429
NOW,"ServiceNow, Inc.",NYQ,Technology,Software - Application,127.65,117.9,8.4337,28.1940,1.2769,0.2210,0.0200,1.2400,70.5988
NOVT,Novanta Inc.,NMS,Technology,Scientific & Technical Instruments,168.59,166.94,4.7763,32.4080,1.0737,0.1040,-0.0050,,120.1007
NOK,Nokia Corporation Sponsored,NYQ,Technology,Communication Equipment,16.85,16.73,9.4895,27.3211,1.5392,0.0240,,1.6000,104.5625
NIQ,NIQ Global Intelligence plc,NYQ,,,8.43,8.22,-1.4388,-21.4900,1.1028,,,,
NICE,NICE Ltd,NMS,Technology,Software - Application,97.05,94.91,4.7109,-23.5768,1.1433,0.0980,-0.6380,0.7300,11.2586
NET,"Cloudflare, Inc.",NYQ,Technology,Software - Infrastructure,272.66,265.33,16.3167,18.3611,0.8809,0.3350,,2.3800,
NCNO,"nCino, Inc.",NMS,Technology,Software - Application,16.63,15.88,0.1893,-11.7287,1.2714,0.1060,1.4530,0.9108,132.3333
NAVN,"Navan, Inc.",NMS,Technology,Software - Application,22.87,22.16,9.0015,20.8288,0.7759,0.3480,,,
NATL,NCR Atleos Corporation,NYQ,Technology,Software - Application,44.32,44.08,-2.6287,0.0908,0.7042,0.0650,0.5710,0.3446,19.6786
NABL,"N-able, Inc.",NYQ,Technology,Information Technology Services,4.17,3.79,9.8551,-31.3406,0.7819,0.1310,,,
MXL,"MaxLinear, Inc",NMS,Technology,Semiconductors,88.76,91.39,-6.5160,16.9867,1.3268,0.4300,,0.3900,
MX,Magnachip Semiconductor Corpora,NYQ,Technology,Semiconductors,8.34,8.93,31.5169,150.8427,4.0404,0.0330,,1.1300,
MU,"Micron Technology, Inc.",NMS,Technology,Semiconductors,1064.1,1079.57,16.8973,87.2790,0.8262,1.9630,7.7080,0.3700,51.0194
MTSI,MACOM Technology Solutions Hold,NMS,Technology,Semiconductors,382.35,390.34,-0.1918,33.8064,1.1969,0.2250,0.4630,2.0500,166.8120
MTLS,Materialise NV,NMS,Technology,Software - Application,6.89,6.61,2.0062,18.8849,1.6219,-0.0020,,1.2600,33.0500
MSTR,Strategy Inc,NMS,Technology,Software - Application,136.08,126.545,-16.5458,-31.1480,1.1504,0.1190,,2.8500,
