symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n
PRGS,Progress Software Corporation,NMS,Technology,Software - Infrastructure,35.32,33.8,14.4923,16.0927,0.5865,0.0410,1.0840,1.1800,17.4615,0.389944,0.281550,43,0.643191,0.240567,0.056812,0.376273,0.152405,0.500000,0.500000,0.921117
OOMA,"Ooma, Inc.",NYQ,Technology,Software - Application,18.14,17.63,0.9753,-1.6760,1.2360,0.2480,,,53.3333,0.389566,0.280801,44,0.477780,0.153538,0.229643,0.467906,0.500000,0.500000,0.500000,0.585202
RUN,Sunrun Inc.,NMS,Technology,Solar,15.58,15.085,0.3289,20.0787,0.8462,0.4320,2.3520,3.0700,7.1596,0.386296,0.274310,45,0.469869,0.260091,0.125918,0.549358,0.257546,0.500000,0.500000,0.911714
LYFT,"Lyft, Inc.",NMS,Technology,Software - Application,14.86,14.205,2.9927,0.3556,0.8956,0.1380,4.5510,0.1500,2.0629,0.385022,0.271780,46,0.502467,0.163488,0.139063,0.419212,0.439884,0.500000,0.500000,0.991662
XPER,Xperi Inc.,NYQ,Technology,Software - Application,7.8,7.735,0.1880,14.7059,1.1392,0.0020,,,,0.381824,0.265432,47,0.468145,0.233775,0.203885,0.359008,0.500000,0.500000,0.500000,0.500000
NTCT,"NetScout Systems, Inc.",NMS,Technology,Software - Infrastructure,42.88,43.66,5.5920,23.6970,1.3183,-0.0100,-0.0200,1.6400,33.4077,0.381706,0.265198,48,0.534275,0.277813,0.251543,0.353696,0.060862,0.500000,0.500000,0.861377
NCNO,"nCino, Inc.",NMS,Technology,Software - Application,17.19,16.46,9.4799,-7.5598,1.4447,0.1060,1.4530,0.9538,138.5833,0.381520,0.264829,49,0.581853,0.124719,0.285178,0.405046,0.183002,0.500000,0.500000,0.548989
VISN,"Vistance Networks, Inc.",NMS,Technology,Communication Equipment,12.27,12.34,-0.4003,0.6472,0.7483,0.2160,6.0260,2.9400,18.2941,0.380795,0.263389,50,0.460946,0.164916,0.099867,0.453741,0.562189,0.500000,0.500000,0.879902
SRAD,Sportradar Group AG,NMS,Technology,Software - Application,13.77,13.385,6.1288,5.0691,0.5428,0.1130,,,52.6154,0.378398,0.258631,51,0.540844,0.186575,0.045184,0.408145,0.500000,0.500000,0.500000,0.587437
PAR,PAR Technology Corporation,NYQ,Technology,Software - Application,16.26,15.26,2.8264,6.6294,0.5126,0.1940,,0.7700,,0.375929,0.253731,52,0.500432,0.194217,0.037147,0.444002,0.500000,0.500000,0.500000,0.733232
WLTH,Wealthfront Corporation,NMS,Technology,Software - Application,12.19,12.195,2.7546,7.9825,0.6611,0.1630,,,,0.374160,0.250219,53,0.499553,0.200844,0.076663,0.430279,0.500000,0.500000,0.500000,0.500000
YMM,Full Truck Alliance Co. Ltd.,NYQ,Technology,Software - Application,9.02,9.555,10.5110,10.3828,1.0686,0.0550,-0.2190,,16.1271,0.373848,0.249600,54,0.594470,0.212601,0.185098,0.382470,0.044362,0.500000,0.500000,0.701038
LIF,"Life360, Inc.",NMS,Technology,Software - Application,48.14,46.5,12.7098,1.5558,0.6581,0.3810,-0.3650,,26.8571,0.372320,0.246566,55,0.621378,0.169367,0.075865,0.526782,0.032255,0.500000,0.500000,0.667631
