symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n,kept,dropped_due_to
PONY,Pony AI Inc.,NMS,Technology,Information Technology Services,10.79,10.76,11.191,4.1346,1.0929,1.45,,,,0.485276,0.470784,11,0.602792,0.181997,0.191565,1.0,0.5,0.5,0.5,0.5,True,
MNTN,"MNTN, Inc.",NYQ,Technology,Software - Application,10.74,10.66,17.6271,-1.6068,1.7334,0.142,,,7.4892,0.465188,0.43091,12,0.681552,0.153876,0.362001,0.420983,0.5,0.5,0.5,0.72793,True,
OUST,"Ouster, Inc.",NMS,Technology,Electronic Components,44.93,47.315,4.0696,63.5169,1.1304,0.489,,,,0.463676,0.427908,13,0.515645,0.472848,0.201543,0.574591,0.5,0.5,0.5,0.5,True,
VRNS,"Varonis Systems, Inc.",NMS,Technology,Software - Infrastructure,36.11,35.44,18.6508,30.9011,0.7833,0.269,,7.38,,0.461986,0.424555,14,0.694079,0.313098,0.10918,0.477202,0.5,0.5,0.5,0.588174,True,
OCTVV,Octave Intelligence plc,NMS,Technology,Software - Application,,17.48,17.286,-5.1457,1.5212,,,,15.2,0.461192,0.422977,15,0.677378,0.136543,0.305535,0.5,0.5,0.5,0.5,0.703924,False,OCTV
PATH,"UiPath, Inc.",NYQ,Technology,Software - Infrastructure,13.1,12.08,9.1398,12.4654,1.7262,0.173,,0.47,20.3,0.455871,0.412415,16,0.577691,0.222801,0.360085,0.434706,0.5,0.5,0.5,0.927861,True,
NAVN,"Navan, Inc.",NMS,Technology,Software - Application,22.78,23.01,15.7389,24.7001,0.8758,0.348,,,,0.451785,0.404306,17,0.658446,0.282726,0.133795,0.512174,0.5,0.5,0.5,0.5,True,
TDC,Teradata Corporation,NYQ,Technology,Software - Infrastructure,36.83,36.44,13.2526,24.4543,0.9372,0.062,6.614,6.0,8.3501,0.451714,0.404163,18,0.62802,0.281522,0.150133,0.385569,0.610945,0.5,0.5,0.843709,True,
PTRN,Pattern Group Inc. - Series A,NMS,Technology,Software - Application,19.59,20.11,9.4754,50.1468,1.7057,0.432,0.281,,,0.448928,0.398634,19,0.581798,0.407362,0.35463,0.549358,0.085821,0.5,0.5,0.5,True,
MTLS,Materialise NV,NMS,Technology,Software - Application,6.86,6.93,9.1918,23.9209,1.5217,-0.002,,1.26,34.45,0.446848,0.394505,20,0.578327,0.278909,0.305668,0.357238,0.5,0.5,0.5,0.866471,True,
NTSK,"Netskope, Inc.",NMS,Technology,Software - Infrastructure,12.86,12.435,8.6253,17.1512,1.5506,0.322,,,,0.446309,0.393435,21,0.571395,0.245752,0.313358,0.500664,0.5,0.5,0.5,0.5,True,
LPL,"LG Display Co, Ltd AMERICAN DEP",NYQ,Technology,Consumer Electronics,5.51,5.675,17.6229,32.8704,0.7091,-0.088,,6.56,,0.438815,0.378558,22,0.681501,0.322744,0.089436,0.319168,0.5,0.5,0.5,0.606169,True,
SSYS,"Stratasys, Ltd.",NMS,Technology,Computer Hardware,10.69,10.52,5.9536,20.1373,1.7668,-0.025,,2.06,,0.436132,0.373233,23,0.5387,0.260378,0.370889,0.347056,0.5,0.5,0.5,0.704923,True,
NOK,Nokia Corporation Sponsored,NYQ,Technology,Communication Equipment,16.25,16.835,7.398,28.1583,1.3246,0.024,,1.55,105.25,0.431148,0.36334,24,0.556376,0.299664,0.25322,0.368747,0.5,0.5,0.5,0.639683,True,
XNET,Xunlei Limited,NMS,Technology,Software - Infrastructure,5.98,5.53,-2.17,-13.1621,1.8045,0.697,,2.58,0.4004,0.425955,0.353032,25,0.43929,0.097279,0.380921,0.666667,0.5,0.5,0.5,0.943511,True,
RAMP,"LiveRamp Holdings, Inc.",NYQ,Technology,Software - Infrastructure,37.58,37.59,-0.2786,24.002,1.6032,0.092,,0.59,16.8543,0.424801,0.350741,26,0.462435,0.279307,0.327355,0.398849,0.5,0.5,0.5,0.935955,True,
KVYO,"Klaviyo, Inc. Series A",NYQ,Technology,Software - Application,18.36,16.68,19.2118,-24.6106,0.9185,0.279,,,,0.41825,0.337739,27,0.700944,0.041205,0.145157,0.481629,0.5,0.5,0.5,0.5,False,MNTN
MEI,"Methode Electronics, Inc.",NYQ,Technology,Electronic Components,11.63,12.46,9.345,40.991,0.5388,-0.026,,0.78,,0.417912,0.337066,28,0.580202,0.362518,0.044119,0.346614,0.5,0.5,0.5,0.733012,True,
RNG,"Ringcentral, Inc.",NYQ,Technology,Software - Application,49.025,46.21,11.4183,-1.9048,1.0369,0.053,,0.24,49.3085,0.414563,0.330419,29,0.605573,0.152417,0.176663,0.381585,0.5,0.5,0.5,0.842595,True,
KN,Knowles Corporation,NYQ,Technology,Electronic Components,37.81,39.3,4.2398,22.8155,0.9303,0.158,,0.43,55.2324,0.412405,0.326135,30,0.517728,0.273495,0.148297,0.428066,0.5,0.5,0.5,0.819983,True,
KLAR,Klarna Group plc,NYQ,Financial Services,Credit Services,17.9,17.395,1.5072,17.6747,0.8389,0.444,,0.14,,0.407866,0.317126,31,0.484289,0.248316,0.123976,0.55467,0.5,0.5,0.5,0.747057,True,
VYX,NCR Voyix Corporation,NYQ,Technology,Information Technology Services,7.49,7.145,10.8994,1.1822,0.8989,-0.01,,2.68,25.9821,0.407224,0.315851,32,0.599223,0.167537,0.139941,0.353696,0.5,0.5,0.5,0.861672,True,
QBTS,D-Wave Quantum Inc.,NYQ,Technology,Computer Hardware,29.18,29.4,8.8464,42.978,1.4674,-0.809,,,,0.406436,0.314287,33,0.5741,0.37225,0.291219,0.0,0.5,0.5,0.5,0.5,True,
KC,Kingsoft Cloud Holdings Limited,NMS,Technology,Software - Application,13.33,13.75,4.4207,-9.9277,1.6195,0.237,,,,0.406264,0.313945,34,0.519942,0.113121,0.331692,0.463037,0.5,0.5,0.5,0.5,False,OCTV
UMC,United Microelectronics Corpora,NYQ,Technology,Semiconductors,22.89,22.305,0.9901,72.8814,0.9034,0.055,1.079,1.71,35.6191,0.405053,0.311541,35,0.477961,0.518715,0.141139,0.38247,0.15199,0.5,0.5,0.852956,True,
VNET,"VNET Group, Inc.",NMS,Technology,Information Technology Services,10.6,10.935,0.6536,27.2727,0.9617,0.198,,0.45,,0.405033,0.311502,36,0.473843,0.295326,0.156652,0.445772,0.5,0.5,0.5,0.740254,False,MEI
U,Unity Software Inc.,NYQ,Technology,Software - Application,32.17,30.84,10.7529,10.9127,0.6647,0.168,,,,0.404558,0.310559,37,0.597431,0.215196,0.077621,0.432492,0.5,0.5,0.5,0.5,True,
LSPD,Lightspeed Commerce Inc. Subord,NYQ,Technology,Software - Application,9.89,9.54,9.1987,1.3089,1.0206,0.147,,,,0.403856,0.309165,38,0.578412,0.168157,0.172326,0.423196,0.5,0.5,0.5,0.5,True,
SONO,"Sonos, Inc.",NMS,Technology,Consumer Electronics,16.17,16.54,3.3898,10.7599,1.3993,0.084,,,96.8824,0.402542,0.306557,39,0.507326,0.214448,0.273097,0.395308,0.5,0.5,0.5,0.449619,True,
ST,Sensata Technologies Holding pl,NYQ,Technology,Scientific & Technical Instruments,49.29,52.83,5.1871,29.525,1.7679,0.026,0.246,0.29,161.0,0.396492,0.294548,40,0.52932,0.306358,0.371181,0.369633,0.082919,0.5,0.5,0.493765,True,
NTGR,"NETGEAR, Inc.",NMS,Technology,Communication Equipment,26.71,27.295,5.6202,10.2792,0.9201,-0.02,,0.74,,0.393637,0.288881,41,0.53462,0.212093,0.145583,0.34927,0.5,0.5,0.5,0.73389,True,
VIA,"Via Transportation, Inc.",NYQ,Technology,Software - Application,17.04,15.7,7.6011,-8.3729,0.9048,0.292,,,,0.392926,0.28747,42,0.558861,0.120737,0.141511,0.487384,0.5,0.5,0.5,0.5,False,PATH
PRGS,Progress Software Corporation,NMS,Technology,Software - Infrastructure,35.32,33.8,14.4923,16.0927,0.5865,0.041,1.084,1.18,17.4615,0.389944,0.28155,43,0.643191,0.240567,0.056812,0.376273,0.152405,0.5,0.5,0.921117,False,PATH
OOMA,"Ooma, Inc.",NYQ,Technology,Software - Application,18.14,17.63,0.9753,-1.676,1.236,0.248,,,53.3333,0.389566,0.280801,44,0.47778,0.153538,0.229643,0.467906,0.5,0.5,0.5,0.585202,True,
RUN,Sunrun Inc.,NMS,Technology,Solar,15.58,15.085,0.3289,20.0787,0.8462,0.432,2.352,3.07,7.1596,0.386296,0.27431,45,0.469869,0.260091,0.125918,0.549358,0.257546,0.5,0.5,0.911714,True,
LYFT,"Lyft, Inc.",NMS,Technology,Software - Application,14.86,14.205,2.9927,0.3556,0.8956,0.138,4.551,0.15,2.0629,0.385022,0.27178,46,0.502467,0.163488,0.139063,0.419212,0.439884,0.5,0.5,0.991662,True,
XPER,Xperi Inc.,NYQ,Technology,Software - Application,7.8,7.735,0.188,14.7059,1.1392,0.002,,,,0.381824,0.265432,47,0.468145,0.233775,0.203885,0.359008,0.5,0.5,0.5,0.5,True,
NTCT,"NetScout Systems, Inc.",NMS,Technology,Software - Infrastructure,42.88,43.66,5.592,23.697,1.3183,-0.01,-0.02,1.64,33.4077,0.381706,0.265198,48,0.534275,0.277813,0.251543,0.353696,0.060862,0.5,0.5,0.861377,True,
NCNO,"nCino, Inc.",NMS,Technology,Software - Application,17.19,16.46,9.4799,-7.5598,1.4447,0.106,1.453,0.9538,138.5833,0.38152,0.264829,49,0.581853,0.124719,0.285178,0.405046,0.183002,0.5,0.5,0.548989,True,
VISN,"Vistance Networks, Inc.",NMS,Technology,Communication Equipment,12.27,12.34,-0.4003,0.6472,0.7483,0.216,6.026,2.94,18.2941,0.380795,0.263389,50,0.460946,0.164916,0.099867,0.453741,0.562189,0.5,0.5,0.879902,True,
SRAD,Sportradar Group AG,NMS,Technology,Software - Application,13.77,13.385,6.1288,5.0691,0.5428,0.113,,,52.6154,0.378398,0.258631,51,0.540844,0.186575,0.045184,0.408145,0.5,0.5,0.5,0.587437,True,
PAR,PAR Technology Corporation,NYQ,Technology,Software - Application,16.26,15.26,2.8264,6.6294,0.5126,0.194,,0.77,,0.375929,0.253731,52,0.500432,0.194217,0.037147,0.444002,0.5,0.5,0.5,0.733232,True,
WLTH,Wealthfront Corporation,NMS,Technology,Software - Application,12.19,12.195,2.7546,7.9825,0.6611,0.163,,,,0.37416,0.250219,53,0.499553,0.200844,0.076663,0.430279,0.5,0.5,0.5,0.5,True,
YMM,Full Truck Alliance Co. Ltd.,NYQ,Technology,Software - Application,9.02,9.555,10.511,10.3828,1.0686,0.055,-0.219,,16.1271,0.373848,0.2496,54,0.59447,0.212601,0.185098,0.38247,0.044362,0.5,0.5,0.701038,True,
LIF,"Life360, Inc.",NMS,Technology,Software - Application,48.14,46.5,12.7098,1.5558,0.6581,0.381,-0.365,,26.8571,0.37232,0.246566,55,0.621378,0.169367,0.075865,0.526782,0.032255,0.5,0.5,0.667631,True,
OTEX,Open Text Corporation,NMS,Technology,Software - Application,25.38,24.91,7.6422,7.0842,0.9732,0.022,0.86,1.02,12.034,0.371711,0.245358,56,0.559364,0.196444,0.159713,0.367862,0.133831,0.5,0.5,0.941526,True,
S,"SentinelOne, Inc.",NYQ,Technology,Software - Infrastructure,17.81,17.685,-3.4262,11.1218,0.9629,0.208,,,,0.370186,0.242331,57,0.423917,0.21622,0.156972,0.450199,0.5,0.5,0.5,0.5,True,
SCSC,"ScanSource, Inc.",NMS,Technology,Electronics & Computer Distribution,48.13,48.085,5.8798,16.5011,0.9695,0.088,-0.031,0.73,14.614,0.369895,0.241753,58,0.537797,0.242568,0.158728,0.397078,0.05995,0.5,0.5,0.939858,False,VYX
TOST,"Toast, Inc.",NYQ,Technology,Software - Infrastructure,27.74,26.365,7.5918,-10.3706,0.8719,0.219,1.25,0.23,39.3433,0.363774,0.229604,59,0.558747,0.110952,0.132757,0.455069,0.166169,0.5,0.5,0.87384,True,
JKS,JinkoSolar Holding Company Limi,NYQ,Technology,Solar,21.85,22.22,0.0881,-5.9213,0.9654,-0.115,,0.14,,0.357555,0.217259,60,0.466923,0.132744,0.157637,0.307216,0.5,0.5,0.5,0.747057,True,
SONY,Sony Group Corporation,NYQ,Technology,Consumer Electronics,22.57,22.805,4.1629,15.9369,0.8339,0.154,-0.581,1.95,21.0833,0.35564,0.213457,61,0.516787,0.239804,0.122645,0.426295,0.014345,0.5,0.5,0.892944,True,
STNE,StoneCo Ltd.,NMS,Technology,Software - Infrastructure,11.69,11.1761,-0.9692,3.69,0.8803,0.043,2.317,0.0176,4.0873,0.350103,0.202466,62,0.453984,0.17982,0.134992,0.377158,0.254643,0.5,0.5,0.988265,True,
RELY,"Remitly Global, Inc.",NMS,Technology,Software - Infrastructure,21.03,20.355,-0.2485,-15.6013,0.836,0.252,3.321,0.1259,41.8125,0.349629,0.201525,63,0.462804,0.085332,0.123204,0.469677,0.337894,0.5,0.5,0.868437,True,
PAY,"Paymentus Holdings, Inc.",NYQ,Technology,Software - Infrastructure,24.26,22.3,-4.1649,-22.0126,1.8142,0.302,0.512,0.7648,39.1579,0.348794,0.199867,64,0.414878,0.05393,0.383502,0.491811,0.104975,0.5,0.5,0.862681,True,
LYTS,LSI Industries Inc.,NMS,Technology,Electronic Components,24.1,24.055,-2.6273,3.5238,1.4877,0.136,-0.461,0.4,32.5541,0.347514,0.197328,65,0.433694,0.179006,0.296621,0.418327,0.024295,0.5,0.5,0.891246,True,
NIQ,NIQ Global Intelligence plc,NYQ,,,8.91,8.485,-0.1185,-19.4842,0.5386,,,,,0.343577,0.189511,66,0.464394,0.066314,0.044066,0.5,0.5,0.5,0.5,0.5,True,
RDWR,Radware Ltd.,NMS,Technology,Software - Infrastructure,31.69,31.54,8.7556,15.8649,0.519,0.107,-0.184,22.79,71.7045,0.341091,0.184577,67,0.572989,0.239452,0.03885,0.405489,0.047264,0.5,0.5,0.278007,True,
VIAV,Viavi Solutions Inc.,NMS,Technology,Communication Equipment,47.49,52.0,-0.3392,0.743,0.9632,0.428,-0.672,1.34,,0.340614,0.183629,68,0.461694,0.165386,0.157052,0.547587,0.006799,0.5,0.5,0.720723,True,
PEGA,Pegasystems Inc.,NMS,Technology,Software - Application,37.93,36.21,8.4741,-0.4893,0.6676,-0.096,-0.616,4.11,19.7892,0.334421,0.171337,69,0.569544,0.15935,0.078393,0.315626,0.011443,0.5,0.5,0.849571,True,
TASK,"TaskUs, Inc.",NMS,Technology,Information Technology Services,6.6,6.44,4.1868,0.936,0.456,0.103,0.151,0.3792,5.7257,0.333242,0.168997,70,0.51708,0.166331,0.022086,0.403718,0.075041,0.5,0.5,0.975228,True,
PAGS,PagSeguro Digital Ltd.,NYQ,Technology,Software - Infrastructure,9.43,9.21,-0.5394,-5.4359,0.9873,0.015,0.039,1.6304,6.3586,0.326151,0.154921,71,0.459244,0.135122,0.163465,0.364763,0.065755,0.5,0.5,0.9458,False,STNE
KD,"Kyndryl Holdings, Inc.",NYQ,Technology,Information Technology Services,12.89,12.655,7.0518,-12.4392,0.8356,-0.008,-0.754,,14.8235,0.324914,0.152465,72,0.552139,0.10082,0.123097,0.354582,0.0,0.5,0.5,0.705096,False,MNTN
UPBD,"Upbound Group, Inc.",NMS,Technology,Software - Application,19.06,18.7,-1.4823,0.7035,0.797,0.037,0.444,1.39,12.9236,0.324809,0.152257,73,0.447705,0.165192,0.112826,0.374502,0.099337,0.5,0.5,0.930637,True,
PSFE,Paysafe Limited,NYQ,Technology,Software - Infrastructure,8.07,7.61,-4.3646,-18.0418,0.5572,0.104,,,,0.319541,0.141801,74,0.412434,0.073379,0.049015,0.404161,0.5,0.5,0.5,0.5,True,
NATL,NCR Atleos Corporation,NYQ,Technology,Software - Application,44.47,44.365,-1.6851,0.6812,0.3986,0.065,0.571,0.3467,19.7946,0.310778,0.124405,75,0.445224,0.165083,0.006812,0.386897,0.109867,0.5,0.5,0.932141,True,
PAYP,PayPay Corporation - American D,NMS,Technology,Software - Infrastructure,18.61,18.49,-3.2091,-11.7092,0.373,0.291,0.395,1.89,16.6964,0.30343,0.109819,76,0.426574,0.104396,0.0,0.486941,0.095274,0.5,0.5,0.907918,True,
VNT,Vontier Corporation,NYQ,Technology,Scientific & Technical Instruments,28.46,28.34,-2.7721,-18.3386,0.8811,0.013,0.073,0.85,10.0389,0.303232,0.109427,77,0.431922,0.071925,0.135205,0.363878,0.068574,0.5,0.5,0.951468,True,
WSE,Wise Group plc,NMS,Technology,Information Technology Services,12.1,11.76,-9.4902,-25.0649,1.5548,0.092,-0.139,4.96,23.08,0.299688,0.102393,78,0.34971,0.03898,0.314476,0.398849,0.050995,0.5,0.5,0.820672,True,
TSAT,Telesat Corporation,NMS,Technology,Communication Equipment,49.71,50.09,-12.5567,3.1263,0.7248,-0.254,,,,0.297806,0.098657,79,0.312185,0.177059,0.093614,0.245684,0.5,0.5,0.5,0.5,True,
YALA,Yalla Group Limited,NYQ,Technology,Software - Application,5.8,5.66,-7.084,-15.9464,0.7575,-0.058,-0.22,0.59,7.1392,0.279874,0.063061,80,0.379156,0.083642,0.102315,0.332448,0.044279,0.5,0.5,0.966202,True,
PLAB,"Photronics, Inc.",NMS,Technology,Semiconductor Equipment & Materials,31.87,32.87,-38.0677,-33.0234,2.3989,-0.005,2.547,2.64,12.2288,0.248105,0.0,81,0.0,0.0,0.53909,0.35591,0.273715,0.5,0.5,0.905369,True,
