symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n
SCSC,"ScanSource, Inc.",NMS,Technology,Electronics & Computer Distribution,48.08,45.87,0.1091,11.1461,1.2671,0.0880,-0.0310,0.7000,13.9422,0.325963,0.194879,103,0.386560,0.266137,0.243157,0.270262,0.013984,0.500000,0.500000,0.983937
NVMI,Nova Ltd.,NMS,Technology,Semiconductor Equipment & Materials,523.13,530.04,4.7572,7.6682,0.6914,0.1030,0.0680,1.4600,66.6717,0.324342,0.191952,104,0.475775,0.248898,0.086046,0.274782,0.015490,0.500000,0.500000,0.963129
PLTR,Palantir Technologies Inc.,NMS,Technology,Software - Infrastructure,152.17,142.2,-0.7953,-2.6228,0.8887,0.8470,3.0670,2.1800,158.0000,0.324171,0.191643,105,0.369201,0.197890,0.139890,0.498945,0.061124,0.500000,0.500000,0.940182
ZBRA,Zebra Technologies Corporation,NMS,Technology,Communication Equipment,254.44,249.3,0.5647,11.4290,1.0948,0.1430,-0.0070,0.5300,30.1087,0.323710,0.190810,106,0.395305,0.267539,0.196136,0.286833,0.014349,0.500000,0.500000,0.986406
SPSC,"SPS Commerce, Inc.",NMS,Technology,Software - Application,57.8,55.55,3.7930,-5.1076,1.1661,0.0580,-0.1110,4.5500,23.0498,0.323362,0.190181,107,0.457268,0.185574,0.215594,0.261223,0.012766,0.500000,0.500000,0.898696
XYZ,"Block, Inc.",NYQ,Technology,Software - Infrastructure,74.15,69.8,-6.1197,-2.9207,1.1628,0.0490,,0.7800,54.5313,0.322712,0.189007,108,0.267006,0.196414,0.214693,0.258512,0.500000,0.500000,0.500000,0.979008
VLN,Valens Semiconductor Ltd.,NYQ,Technology,Semiconductors,3.31,3.22,-8.0000,43.1111,0.7866,0.0020,,,,0.322206,0.188094,109,0.230916,0.424575,0.112027,0.244351,0.500000,0.500000,0.500000,0.500000
SSNC,"SS&C Technologies Holdings, Inc",NMS,Technology,Software - Application,68.22,67.97,3.2263,-1.4258,0.9905,0.0880,0.0620,0.7100,21.1087,0.320294,0.184642,110,0.446391,0.203823,0.167672,0.270262,0.015399,0.500000,0.500000,0.983157
PTC,PTC Inc.,NMS,Technology,Software - Application,142.34,139.72,0.6701,1.1072,1.0669,0.2170,2.6320,1.3300,13.4217,0.320128,0.184342,111,0.397328,0.216378,0.188522,0.309129,0.054505,0.500000,0.500000,0.970145
PRGS,Progress Software Corporation,NMS,Technology,Software - Infrastructure,34.05,31.96,4.6496,8.9669,0.5751,0.0410,1.0840,1.0600,16.3897,0.319848,0.183835,112,0.473709,0.255336,0.054308,0.256101,0.030950,0.500000,0.500000,0.975841
